amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	price-designation	is-iba	buyer-citizen-name	buyer-citizen-id	order-invoice-type	invoice-business-legal-name	invoice-business-address	invoice-business-tax-id	invoice-business-tax-office 
406-7000430-3683565	406-7000430-3683565	2025-04-30T21:58:37+00:00	2025-05-04T05:37:58+00:00	Shipped	Amazon	Amazon.fr			Expedited	TUBOPLUS TuboX3 Pressurisateur de balles de tennis et padel Blanc	TUBOX3-WHI	B0BTDTVCG2	Shipped	1	EUR	22.0	3.67							Poitiers		86000	FR		false		false							
408-2340946-5086706	408-2340946-5086706	2025-04-30T19:51:53+00:00	2025-05-02T07:19:45+00:00	Shipped	Amazon	Amazon.fr			Expedited	TUBOPLUS C1-O2UC-HPCJ Pressuriseur de Balles pour Tennis et Padel Adulte Unisexe, Bleu, 4 Boules	MD-R60M-OYR1	B0786KK4TG	Shipped	1	EUR	25.34	4.22							Puget-sur-Argens		83480	FR		false		false							
407-7287073-6739531	407-7287073-6739531	2025-04-30T14:32:41+00:00	2025-05-02T20:29:11+00:00	Shipped	Amazon	Amazon.fr			Standard	TUBOPLUS C1-O2UC-HPCJ Pressuriseur de Balles pour Tennis et Padel Adulte Unisexe, Bleu, 4 Boules	MD-R60M-OYR1	B0786KK4TG	Shipped	1	EUR	25.34	4.22							ozoir la Ferrière		77330	FR	Free Shipping 2017/10/17 17-17-37-677	false		false							
406-7539971-5443561	406-7539971-5443561	2025-04-30T05:00:49+00:00	2025-04-30T13:13:37+00:00	Shipped	Amazon	Amazon.fr			Expedited	PRESSURISEUR TUBOX4 Crystal avec Pompe MANOMETRE BETO pour Tous Les Bateaux avec 3 OU 4 Tennis ET BALLES DE Padel.	UG-965T-RORR	B07ZTHSVCK	Shipped	1	EUR	42.0	7.0							Saint-Nazaire		66570	FR		false		false							
406-4454332-2239556	406-4454332-2239556	2025-04-29T07:32:05+00:00	2025-05-02T23:02:16+00:00	Shipped	Amazon	Amazon.fr			Expedited	TUBOPLUS C1-O2UC-HPCJ Pressuriseur de Balles pour Tennis et Padel Adulte Unisexe, Bleu, 4 Boules	MD-R60M-OYR1	B0786KK4TG	Shipped	1	EUR	25.34	4.22							Dampierre en burly		45570	FR		false		false							
403-4958254-8442761	403-4958254-8442761	2025-04-28T19:46:53+00:00	2025-05-01T12:16:17+00:00	Shipped	Amazon	Amazon.fr			Expedited	PRESSURISEUR TUBOX4 Crystal avec Pompe MANOMETRE BETO pour Tous Les Bateaux avec 3 OU 4 Tennis ET BALLES DE Padel.	UG-965T-RORR	B07ZTHSVCK	Shipped	1	EUR	42.0	7.0							Sameon		59310	FR		false		false							
171-4454993-9451562	171-4454993-9451562	2025-04-28T15:45:18+00:00	2025-05-02T03:50:59+00:00	Shipped	Amazon	Amazon.fr			Expedited	TUBOPLUS TuboX3 Couleur Pressurisateur de Balles de Tennis et Padel | Couleur Rose	TUBOX3-PINK	B0BTDTN52N	Shipped	1	EUR	22.0	3.67							Verpillieres		80700	FR		false		false							
171-0290065-7885169	171-0290065-7885169	2025-04-28T15:24:52+00:00	2025-04-28T15:39:21+00:00	Cancelled	Amazon	Amazon.fr			Expedited	TUBOPLUS TuboX3 Pressurisateur de balles de tennis et padel Blanc	TUBOX3-WHI	B0BTDTVCG2	Cancelled	0										Vaulx En Velin		69120	FR		false		false							
407-6130864-1289939	407-6130864-1289939	2025-04-28T11:22:06+00:00	2025-04-29T20:38:41+00:00	Shipped	Amazon	Amazon.fr			Expedited	PRESSURISEUR TUBOX4 Crystal avec Pompe MANOMETRE BETO pour Tous Les Bateaux avec 3 OU 4 Tennis ET BALLES DE Padel.	UG-965T-RORR	B07ZTHSVCK	Shipped	1	EUR	42.0	7.0							Bonnefamille		38090	FR		false		false							
404-0357982-2211504	404-0357982-2211504	2025-04-27T11:57:57+00:00	2025-04-29T14:58:09+00:00	Shipped	Amazon	Amazon.fr			Standard	TUBOPLUS TuboX3 Pressurisateur de balles de tennis et padel Blanc	TUBOX3-WHI	B0BTDTVCG2	Shipped	1	EUR	22.0	3.67	0.55					0.55	Montcel		63460	FR	Free Shipping 2017/10/17 17-17-37-677	false		false							
